elapsed time,x-position,y-position,MAC address
5.252646,-4.89651,-11.9917,63:A6:58:18:AB:3C
6.720443,5.906576,15.00009,51:6B:E7:11:AD:06
7.159714,-5.597212,-5.070908,E9:23:F6:85:16:99
7.260846,-2.701978,-10.2343,63:A6:58:18:AB:3C
8.723225,7.1271,12.47578,51:6B:E7:11:AD:06
9.160602,-2.837196,-5.549729,E9:23:F6:85:16:99
9.261257,-0.5159555,-8.483709,63:A6:58:18:AB:3C
10.7378,8.354813,9.936606,51:6B:E7:11:AD:06
11.17613,-0.1760662,-6.010867,E9:23:F6:85:16:99
11.27773,1.539938,-6.753858,63:A6:58:18:AB:3C
12.74747,9.579535,7.403617,51:6B:E7:11:AD:06
13.18455,2.241616,-6.534048,E9:23:F6:85:16:99
13.28536,3.521514,-5.011496,63:A6:58:18:AB:3C
14.76339,10.80807,4.862742,51:6B:E7:11:AD:06
15.1855,5.004738,-6.991847,E9:23:F6:85:16:99
15.29585,5.357951,-2.878428,63:A6:58:18:AB:3C
16.77478,12.03383,2.327586,51:6B:E7:11:AD:06
17.19609,7.781859,-7.451047,E9:23:F6:85:16:99
17.29743,7.186242,-0.7548218,63:A6:58:18:AB:3C
18.77902,13.25525,-0.1985619,51:6B:E7:11:AD:06
19.20279,10.5536,-7.909356,E9:23:F6:85:16:99
19.30315,9.018314,1.373182,63:A6:58:18:AB:3C
20.78463,14.46373,-2.697968,51:6B:E7:11:AD:06
21.20526,13.31951,-8.366702,E9:23:F6:85:16:99
21.30558,10.84739,3.497699,63:A6:58:18:AB:3C
22.78651,14.56721,-5.265056,51:6B:E7:11:AD:06
23.20696,15.15682,-8.338331,E9:23:F6:85:16:99
23.30963,12.67795,5.623938,63:A6:58:18:AB:3C
24.79165,13.9964,-7.91948,51:6B:E7:11:AD:06
25.21576,15.73969,-7.228641,E9:23:F6:85:16:99
25.31685,14.51139,7.753528,63:A6:58:18:AB:3C
26.8012,13.81812,-10.72263,51:6B:E7:11:AD:06
27.22277,15.11763,-4.698529,E9:23:F6:85:16:99
27.32387,16.34465,9.882907,63:A6:58:18:AB:3C
28.81763,13.57044,-13.25987,51:6B:E7:11:AD:06
29.22439,14.31218,-2.014516,E9:23:F6:85:16:99
29.32877,17.06474,11.48307,63:A6:58:18:AB:3C
30.8306,11.77995,-14.11034,51:6B:E7:11:AD:06
31.2347,13.50321,0.6811583,E9:23:F6:85:16:99
31.33179,15.20593,12.38048,63:A6:58:18:AB:3C
