elapsed time,x-position,y-position,MAC address
13.24827,-6.334218,1.813845,A5:1C:09:B8:AE:62
13.24827,-1.291413,0.8349682,46:0C:56:DD:0C:F1
13.24827,-5.241634,-3.839936,EC:7C:76:4C:9B:C6
17.41052,-8.618345,1.493931,60:47:8B:71:96:33
18.2621,-6.724102,-4.660305,A5:1C:09:B8:AE:62
18.2621,-7.156634,4.730031,46:0C:56:DD:0C:F1
18.2621,-7.891241,8.414948,EC:7C:76:4C:9B:C6
18.4612,3.794758,18.02019,14:A1:E7:58:5A:E4
18.59609,-3.227465,-18.00079,A1:0B:5F:E7:34:E5
18.73503,-2.018728,-3.114905,07:0F:73:5B:4D:B2
18.9091,-3.402348,-2.595752,1C:54:EF:D8:2D:56
19.04969,-7.615991,0.7723469,78:E0:EB:09:2C:9A
19.18842,-15.99622,-12.62112,C9:34:85:D5:A4:0C
19.34003,-8.206079,7.116282,7B:EE:B1:71:3C:01
19.47474,17.16646,-16.69769,91:04:48:90:45:8C
19.61081,-1.198581,4.194494,52:05:F9:D8:54:42
19.77049,0.9174466,13.29003,43:3C:73:91:DF:7A
19.90405,-11.03616,9.548034,F8:97:DF:C5:1E:FF
20.0572,-16.57399,6.821609,60:31:6B:67:DF:5E
20.19574,-8.832375,1.346319,00:AA:18:EE:46:29
20.34969,-7.830498,10.87391,0E:E7:9B:5F:B6:26
20.52158,-4.584707,3.553229,A0:F0:E0:42:91:68
20.66142,-9.569876,-4.059401,99:EA:0F:37:79:A4
20.79951,-12.16962,6.331087,22:CC:E6:48:30:13
20.93999,3.628946,2.566124,20:EB:25:9A:D8:A9
21.0914,-3.650332,-1.538645,2A:55:F5:4A:82:F7
21.21725,-5.054099,-8.522548,DE:98:E0:B8:24:2D
21.36968,0.120492,3.098675,1F:1D:9F:03:CE:F5
21.5238,-11.1947,2.319717,4F:C9:31:73:CB:79
21.68174,8.916267,-5.506067,43:C5:B7:87:3F:CB
21.83472,-8.776424,-4.856519,01:05:18:36:18:3C
21.97458,2.576219,2.829398,72:4E:67:17:58:E1
22.13047,-2.043321,19.24292,C4:69:A8:B8:28:13
22.26737,-11.28413,0.035235,73:1D:1D:30:4B:0F
22.41238,-4.647244,-6.10796,78:B6:89:7C:07:BC
22.41238,8.04883,-0.182175,60:47:8B:71:96:33
22.57364,-13.23772,-10.41353,40:56:59:15:B7:1E
22.71979,10.37944,1.714535,15:E9:04:63:90:7F
22.86466,-3.281657,1.884555,8D:37:70:50:AF:62
23.01126,16.02195,1.397323,D1:8A:9D:A4:14:21
23.16337,-3.758241,-4.459946,AD:D1:BA:09:BD:62
23.26657,6.834267,-4.4025,A5:1C:09:B8:AE:62
23.26657,-0.1048991,-1.419269,46:0C:56:DD:0C:F1
23.26657,-16.18759,18.42191,EC:7C:76:4C:9B:C6
23.30959,5.693696,2.364336,B2:F6:46:AA:D7:01
23.44705,-5.173129,14.53971,87:AE:B2:89:A2:3F
23.46371,0.6072868,9.832794,14:A1:E7:58:5A:E4
23.599,5.31371,-11.68017,A1:0B:5F:E7:34:E5
23.61639,1.227438,6.214043,0E:0F:8D:9D:A2:13
23.75244,8.017391,-16.85805,07:0F:73:5B:4D:B2
23.79317,1.87179,3.840322,9E:28:06:27:AA:7C
23.91573,7.183751,-7.128375,1C:54:EF:D8:2D:56
23.93458,4.331719,-7.744994,1F:9C:42:37:67:E5
24.04975,-10.52128,-7.148054,78:E0:EB:09:2C:9A
24.10004,0.1463664,13.36337,64:0C:2B:A1:B1:9A
24.18853,-10.11741,-1.273778,C9:34:85:D5:A4:0C
24.24167,0.6401221,0.3561231,39:E3:60:6E:C8:00
24.34187,-1.212473,15.49165,7B:EE:B1:71:3C:01
24.41911,10.36093,9.607114,AF:48:E7:5D:95:04
24.48183,9.900278,-8.591147,91:04:48:90:45:8C
24.61296,-12.03663,12.74822,52:05:F9:D8:54:42
24.77372,-3.008563,3.961517,43:3C:73:91:DF:7A
24.90767,-8.551448,12.10098,F8:97:DF:C5:1E:FF
25.07323,-5.582453,9.226345,60:31:6B:67:DF:5E
25.20368,-10.47416,-7.816791,00:AA:18:EE:46:29
25.3662,-0.2422838,2.5048,0E:E7:9B:5F:B6:26
25.53314,-2.549559,-10.04576,A0:F0:E0:42:91:68
25.6664,-11.58518,9.119228,99:EA:0F:37:79:A4
25.8103,-8.030663,-6.661747,22:CC:E6:48:30:13
25.95272,-5.113188,-5.289736,20:EB:25:9A:D8:A9
26.1079,-3.052023,14.02609,2A:55:F5:4A:82:F7
26.23143,4.944438,0.9085113,DE:98:E0:B8:24:2D
26.37622,4.753147,8.815748,1F:1D:9F:03:CE:F5
26.54037,-0.8719063,-10.07015,4F:C9:31:73:CB:79
26.68954,6.952659,9.726933,43:C5:B7:87:3F:CB
26.85081,-17.91399,7.853951,01:05:18:36:18:3C
26.98226,-12.98984,5.935528,72:4E:67:17:58:E1
27.143,-13.93553,14.69885,C4:69:A8:B8:28:13
27.27429,-4.63907,9.859167,73:1D:1D:30:4B:0F
27.42373,-8.320488,2.326947,78:B6:89:7C:07:BC
27.42373,12.06786,0.8598037,60:47:8B:71:96:33
27.58691,-1.244494,-11.69008,40:56:59:15:B7:1E
27.72633,-2.617406,7.030453,15:E9:04:63:90:7F
27.87583,-0.7777545,12.45292,8D:37:70:50:AF:62
28.02518,16.14416,15.2112,D1:8A:9D:A4:14:21
28.17157,11.12399,-8.539841,AD:D1:BA:09:BD:62
28.26858,6.385442,1.353721,A5:1C:09:B8:AE:62
28.26858,10.80163,-4.457177,46:0C:56:DD:0C:F1
28.26858,-8.581425,12.68168,EC:7C:76:4C:9B:C6
28.31054,7.780268,14.3596,B2:F6:46:AA:D7:01
28.45055,-9.106292,6.743587,87:AE:B2:89:A2:3F
28.46721,2.862263,-0.7404788,14:A1:E7:58:5A:E4
28.60979,-2.253652,-1.466159,A1:0B:5F:E7:34:E5
28.62646,8.232775,-2.406447,0E:0F:8D:9D:A2:13
28.75313,7.455665,-7.800004,07:0F:73:5B:4D:B2
28.80163,8.89712,2.183009,9E:28:06:27:AA:7C
28.93138,11.35676,-0.9896049,1C:54:EF:D8:2D:56
28.94805,8.967538,-0.4599546,1F:9C:42:37:67:E5
29.05981,-11.99276,-0.7275493,78:E0:EB:09:2C:9A
29.11054,11.22036,13.52069,64:0C:2B:A1:B1:9A
29.20179,-5.465724,11.98488,C9:34:85:D5:A4:0C
29.24197,-8.973132,8.737936,39:E3:60:6E:C8:00
29.35389,-16.93262,12.12925,7B:EE:B1:71:3C:01
29.41959,13.74242,0.09753239,AF:48:E7:5D:95:04
29.49193,3.020737,-1.413328,91:04:48:90:45:8C
29.61894,2.186202,11.08825,52:05:F9:D8:54:42
29.78407,-7.161924,-12.40543,43:3C:73:91:DF:7A
29.90853,-13.71093,-0.2175484,F8:97:DF:C5:1E:FF
30.07483,4.982288,9.790025,60:31:6B:67:DF:5E
30.20431,-11.85552,4.289721,00:AA:18:EE:46:29
30.38101,-7.814242,3.09717,0E:E7:9B:5F:B6:26
30.53619,7.579379,-10.79743,A0:F0:E0:42:91:68
30.6728,-7.271636,12.86747,99:EA:0F:37:79:A4
30.81133,6.676733,-12.80715,22:CC:E6:48:30:13
30.96325,0.3113931,9.608154,20:EB:25:9A:D8:A9
31.12004,-12.88988,14.00986,2A:55:F5:4A:82:F7
31.23388,14.71392,12.14566,DE:98:E0:B8:24:2D
31.38672,16.64188,1.250859,1F:1D:9F:03:CE:F5
31.54659,11.1982,-13.61195,4F:C9:31:73:CB:79
31.70402,3.220003,17.19714,43:C5:B7:87:3F:CB
31.85598,-18.6538,-8.318294,01:05:18:36:18:3C
31.9882,-14.89713,13.89209,72:4E:67:17:58:E1
