elapsed time,x-position,y-position,MAC address
9.26902,-0.09974106,-1.64544,80:A7:CF:A9:20:72
10.73382,-14.6562,15.12912,57:56:5E:70:B5:B3
11.27295,1.60189,-3.847772,80:A7:CF:A9:20:72
11.81797,-9.726831,-13.19606,3B:D9:83:CB:F9:35
12.74326,-13.4431,13.54422,57:56:5E:70:B5:B3
13.28413,2.053324,-4.938777,80:A7:CF:A9:20:72
13.82478,-7.007424,-12.49018,3B:D9:83:CB:F9:35
14.75241,-14.61071,11.45851,57:56:5E:70:B5:B3
15.29037,0.3693798,-4.340339,80:A7:CF:A9:20:72
15.82902,-4.291491,-11.78521,3B:D9:83:CB:F9:35
16.75453,-14.46951,9.655863,57:56:5E:70:B5:B3
17.29359,-2.133181,-3.074455,80:A7:CF:A9:20:72
17.83287,-1.576089,-11.08037,3B:D9:83:CB:F9:35
18.75679,-12.34818,7.929039,57:56:5E:70:B5:B3
19.29486,-4.633299,-1.809806,80:A7:CF:A9:20:72
19.84913,1.156129,-10.37118,3B:D9:83:CB:F9:35
20.75681,-10.13638,6.21203,57:56:5E:70:B5:B3
21.30961,-7.150265,-0.5366344,80:A7:CF:A9:20:72
21.84983,3.867271,-9.667447,3B:D9:83:CB:F9:35
22.75858,-7.922655,4.493526,57:56:5E:70:B5:B3
23.31406,-9.654362,0.7300264,80:A7:CF:A9:20:72
23.86137,5.931581,-8.890162,3B:D9:83:CB:F9:35
24.76911,-5.753713,2.983278,57:56:5E:70:B5:B3
25.32364,-12.16486,1.999926,80:A7:CF:A9:20:72
25.86144,5.552199,-7.258365,3B:D9:83:CB:F9:35
26.78483,-3.037061,2.243423,57:56:5E:70:B5:B3
27.32593,-14.66627,3.265226,80:A7:CF:A9:20:72
27.86694,3.762823,-5.098917,3B:D9:83:CB:F9:35
28.792,-0.3235192,1.513318,57:56:5E:70:B5:B3
29.33082,-17.17091,4.532161,80:A7:CF:A9:20:72
29.87482,1.967715,-2.935737,3B:D9:83:CB:F9:35
30.80218,2.394078,0.782121,57:56:5E:70:B5:B3
31.3426,-19.18895,5.473591,80:A7:CF:A9:20:72
31.88258,0.1727641,-0.7727011,3B:D9:83:CB:F9:35
32.80853,5.106496,0.05231874,57:56:5E:70:B5:B3
33.34856,-19.06695,4.810018,80:A7:CF:A9:20:72
33.88698,-1.619856,1.386253,3B:D9:83:CB:F9:35
34.81613,7.676021,-0.6105173,57:56:5E:70:B5:B3
35.35849,-17.36612,2.786814,80:A7:CF:A9:20:72
35.88701,-3.408565,3.540493,3B:D9:83:CB:F9:35
36.81765,9.006073,0.371727,57:56:5E:70:B5:B3
37.3749,-15.52216,0.6492794,80:A7:CF:A9:20:72
37.90207,-5.210712,5.710922,3B:D9:83:CB:F9:35
38.82594,9.171274,3.078333,57:56:5E:70:B5:B3
39.38736,-13.68183,-1.484052,80:A7:CF:A9:20:72
39.91302,-7.009185,7.876924,3B:D9:83:CB:F9:35
40.82754,9.256511,5.879283,57:56:5E:70:B5:B3
41.38742,-11.85283,-3.604247,80:A7:CF:A9:20:72
41.92163,-8.805573,10.04041,3B:D9:83:CB:F9:35
42.84016,9.326602,8.566822,57:56:5E:70:B5:B3
43.38767,-10.02365,-5.724639,80:A7:CF:A9:20:72
43.93496,-10.39593,11.86638,3B:D9:83:CB:F9:35
44.85059,8.417717,9.464471,57:56:5E:70:B5:B3
45.39653,-8.186603,-7.854157,80:A7:CF:A9:20:72
45.94403,-11.00153,11.44719,3B:D9:83:CB:F9:35
46.86447,6.259656,8.245964,57:56:5E:70:B5:B3
47.41142,-6.427291,-9.863825,80:A7:CF:A9:20:72
47.9579,-10.71129,8.89436,3B:D9:83:CB:F9:35
48.86764,3.931677,6.682211,57:56:5E:70:B5:B3
49.42232,-4.914071,-9.823117,80:A7:CF:A9:20:72
49.97109,-10.31733,6.103568,3B:D9:83:CB:F9:35
50.86996,1.605604,5.119739,57:56:5E:70:B5:B3
51.43263,-3.426232,-7.606005,80:A7:CF:A9:20:72
51.98028,-9.924152,3.318319,3B:D9:83:CB:F9:35
52.88465,-0.8427726,4.495109,57:56:5E:70:B5:B3
53.43628,-1.946267,-5.22315,80:A7:CF:A9:20:72
53.98859,-9.531144,0.5342894,3B:D9:83:CB:F9:35
54.89546,-3.657209,4.432692,57:56:5E:70:B5:B3
55.44514,-0.4625091,-2.83414,80:A7:CF:A9:20:72
55.99298,-9.138899,-2.244306,3B:D9:83:CB:F9:35
56.9022,-6.465959,4.370404,57:56:5E:70:B5:B3
57.45084,1.01977,-0.4492711,80:A7:CF:A9:20:72
58.00404,-8.745352,-5.032151,3B:D9:83:CB:F9:35
58.90547,-9.269843,4.30822,57:56:5E:70:B5:B3
59.46173,2.505879,1.941761,80:A7:CF:A9:20:72
60.01233,-8.352345,-7.816159,3B:D9:83:CB:F9:35
60.92007,-12.08959,4.245686,57:56:5E:70:B5:B3
61.46633,3.987345,4.325318,80:A7:CF:A9:20:72
62.01731,-7.959987,-10.59556,3B:D9:83:CB:F9:35
62.92691,-14.89848,4.183393,57:56:5E:70:B5:B3
63.47782,5.473908,6.717072,80:A7:CF:A9:20:72
64.02431,-7.537435,-13.18139,3B:D9:83:CB:F9:35
64.93032,-17.70257,4.121209,57:56:5E:70:B5:B3
65.48608,6.958083,9.10499,80:A7:CF:A9:20:72
66.02705,-5.641829,-14.31932,3B:D9:83:CB:F9:35
66.93188,-19.33333,3.770543,57:56:5E:70:B5:B3
67.48886,8.438202,11.48638,80:A7:CF:A9:20:72
68.04253,-2.858191,-14.78096,3B:D9:83:CB:F9:35
68.93291,-18.42218,2.470936,57:56:5E:70:B5:B3
69.4903,9.917328,13.86618,80:A7:CF:A9:20:72
