elapsed time,x-position,y-position,MAC address
6.36901,-6.217107,-9.795511,82:16:13:90:47:CC
8.379817,-4.049705,-7.999043,82:16:13:90:47:CC
9.136374,8.943305,-7.646502,19:C3:8E:BB:54:F3
9.978816,-5.720338,-6.617457,7D:85:07:D8:43:66
10.38253,-1.891026,-6.209805,82:16:13:90:47:CC
11.14092,8.515993,-10.42014,19:C3:8E:BB:54:F3
11.98026,-3.806394,-8.663955,7D:85:07:D8:43:66
12.39895,0.2824362,-4.408314,82:16:13:90:47:CC
13.15485,8.086682,-13.20677,19:C3:8E:BB:54:F3
13.98158,-1.892572,-10.71032,7D:85:07:D8:43:66
14.401,2.440397,-2.619671,82:16:13:90:47:CC
15.15994,7.659254,-15.98117,19:C3:8E:BB:54:F3
15.98441,0.02269528,-12.75823,7D:85:07:D8:43:66
16.40527,3.62,-1.013768,82:16:13:90:47:CC
17.17579,7.310404,-18.29686,19:C3:8E:BB:54:F3
17.9993,1.949498,-14.81849,7D:85:07:D8:43:66
18.4186,2.179937,0.6856817,82:16:13:90:47:CC
19.191,7.419716,-18.12703,19:C3:8E:BB:54:F3
20.01373,3.496483,-16.45578,7D:85:07:D8:43:66
20.43422,-0.06943987,2.389578,82:16:13:90:47:CC
21.19302,7.949853,-15.66461,19:C3:8E:BB:54:F3
22.01554,3.355196,-16.15645,7D:85:07:D8:43:66
22.43762,-2.305174,4.08314,82:16:13:90:47:CC
23.1952,8.53077,-12.92241,19:C3:8E:BB:54:F3
24.01928,1.733034,-14.15645,7D:85:07:D8:43:66
24.43948,-4.539192,5.775402,82:16:13:90:47:CC
25.21126,9.115713,-10.16121,19:C3:8E:BB:54:F3
26.03608,-0.05219746,-11.96892,7D:85:07:D8:43:66
26.44113,-6.050244,6.637232,82:16:13:90:47:CC
27.21594,9.697357,-7.415584,19:C3:8E:BB:54:F3
28.05267,-1.837234,-9.78163,7D:85:07:D8:43:66
28.45641,-5.996923,5.271438,82:16:13:90:47:CC
29.23122,10.28203,-4.655635,19:C3:8E:BB:54:F3
30.05862,-3.612852,-7.605887,7D:85:07:D8:43:66
30.464,-5.033481,2.638295,82:16:13:90:47:CC
