elapsed time,x-position,y-position,MAC address
5.306349,0.8774664,10.65351,5E:AE:F9:DC:9A:CB
6.306305,-19.08762,6.908541,77:0D:2C:93:0C:20
6.55733,-10.97158,0.08865675,18:9A:20:29:C7:62
7.313546,1.224479,7.864941,5E:AE:F9:DC:9A:CB
8.273106,-10.41157,-12.77512,4C:7A:0B:FD:36:03
8.306439,-19.12792,4.108644,77:0D:2C:93:0C:20
8.5591,-10.3025,-2.632779,18:9A:20:29:C7:62
9.315318,1.570553,5.083912,5E:AE:F9:DC:9A:CB
10.27649,-7.817178,-11.70943,4C:7A:0B:FD:36:03
10.31059,-19.1683,1.303119,77:0D:2C:93:0C:20
10.5647,-9.63214,-5.35943,18:9A:20:29:C7:62
11.32654,1.918262,2.289752,5E:AE:F9:DC:9A:CB
12.27915,-5.223726,-10.64412,4C:7A:0B:FD:36:03
12.31267,-19.20865,-1.499495,77:0D:2C:93:0C:20
12.58096,-8.958215,-8.100561,18:9A:20:29:C7:62
13.33933,2.266242,-0.506585,5E:AE:F9:DC:9A:CB
14.28274,-2.68087,-9.599592,4C:7A:0B:FD:36:03
14.31674,-19.24903,-4.304899,77:0D:2C:93:0C:20
14.58587,-8.288085,-10.82626,18:9A:20:29:C7:62
15.34571,2.613113,-3.294013,5E:AE:F9:DC:9A:CB
16.29303,-1.82695,-8.14789,4C:7A:0B:FD:36:03
16.32714,-19.28955,-7.119173,77:0D:2C:93:0C:20
16.59542,-7.616403,-13.55827,18:9A:20:29:C7:62
17.35357,2.960244,-6.083514,5E:AE:F9:DC:9A:CB
18.30556,-3.060329,-5.812016,4C:7A:0B:FD:36:03
18.34019,-19.20101,-9.463612,77:0D:2C:93:0C:20
18.60983,-6.94309,-16.2969,18:9A:20:29:C7:62
19.36542,3.30806,-8.878533,5E:AE:F9:DC:9A:CB
20.31348,-4.502335,-3.398968,4C:7A:0B:FD:36:03
20.35019,-17.97477,-9.571335,77:0D:2C:93:0C:20
20.62037,-6.143199,-18.36686,18:9A:20:29:C7:62
21.38093,3.599063,-11.39154,5E:AE:F9:DC:9A:CB
22.32597,-5.947624,-0.9804239,4C:7A:0B:FD:36:03
22.36567,-15.82985,-7.879251,77:0D:2C:93:0C:20
22.62217,-4.1701,-18.1452,18:9A:20:29:C7:62
23.38395,3.215871,-11.65685,5E:AE:F9:DC:9A:CB
