elapsed time,x-position,y-position,MAC address
5.013231,-1.604135,-16.60761,60:AE:6A:E3:BA:40
5.649242,-14.03242,1.462638,9D:8F:3C:4E:EE:D8
5.98646,13.60516,8.5443,03:B9:F7:BF:CD:3C
6.357359,8.176433,-3.985862,81:F4:D4:D0:E5:53
6.791903,9.620701,8.13464,3C:A1:5B:FA:41:9F
7.117549,-11.019,0.4264231,5E:F5:E5:7D:08:08
10.03257,-5.300006,-5.161741,60:AE:6A:E3:BA:40
10.66792,-15.19007,14.25307,9D:8F:3C:4E:EE:D8
10.99336,2.417861,-4.94424,03:B9:F7:BF:CD:3C
11.37737,13.53383,-13.39786,81:F4:D4:D0:E5:53
11.80199,8.949011,15.03269,3C:A1:5B:FA:41:9F
12.12398,-6.822916,1.450267,5E:F5:E5:7D:08:08
15.03398,-3.954712,7.471529,60:AE:6A:E3:BA:40
15.6772,2.136959,11.57674,9D:8F:3C:4E:EE:D8
15.99787,12.43179,-1.875544,03:B9:F7:BF:CD:3C
16.38459,-3.333262,-8.640151,81:F4:D4:D0:E5:53
16.81193,-2.624458,2.216176,3C:A1:5B:FA:41:9F
17.1323,4.171172,-0.5369986,5E:F5:E5:7D:08:08
20.04435,1.882424,15.66535,60:AE:6A:E3:BA:40
20.69186,12.47332,5.303006,9D:8F:3C:4E:EE:D8
21.01035,9.47083,8.561546,03:B9:F7:BF:CD:3C
21.39647,-15.55812,-4.470268,81:F4:D4:D0:E5:53
21.81627,-15.45805,-9.703594,3C:A1:5B:FA:41:9F
22.13437,18.61329,-7.329913,5E:F5:E5:7D:08:08
25.0595,-15.06807,16.22836,60:AE:6A:E3:BA:40
25.69336,3.893825,4.947993,9D:8F:3C:4E:EE:D8
26.01612,13.65506,3.535812,03:B9:F7:BF:CD:3C
26.4057,1.944911,-3.457755,81:F4:D4:D0:E5:53
26.81851,-17.1103,-1.71036,3C:A1:5B:FA:41:9F
27.14411,4.491675,2.073506,5E:F5:E5:7D:08:08
30.07303,1.322582,17.74222,60:AE:6A:E3:BA:40
30.71239,-1.706018,11.88248,9D:8F:3C:4E:EE:D8
31.02116,0.1070901,-7.50634,03:B9:F7:BF:CD:3C
31.40871,15.79616,-3.444362,81:F4:D4:D0:E5:53
31.83288,-12.54704,11.69468,3C:A1:5B:FA:41:9F
32.15754,-9.651986,12.07684,5E:F5:E5:7D:08:08
35.0876,-1.029061,4.463799,60:AE:6A:E3:BA:40
35.72072,7.791089,-2.213141,9D:8F:3C:4E:EE:D8
36.02274,-2.294769,-14.45289,03:B9:F7:BF:CD:3C
36.42911,1.126934,-12.31009,81:F4:D4:D0:E5:53
36.83561,1.270402,2.609916,3C:A1:5B:FA:41:9F
37.16199,-14.99377,14.23313,5E:F5:E5:7D:08:08
40.09801,-8.07564,-11.30862,60:AE:6A:E3:BA:40
