elapsed time,x-position,y-position,MAC address
7.743196,-13.12596,-13.44826,B6:12:6C:64:0A:F4
8.143222,14.21639,-8.117319,D9:63:EA:4C:AB:22
8.480225,-13.9626,14.17964,E0:14:BE:21:86:13
8.918547,-9.710814,2.00585,8F:F1:3A:2C:B1:52
9.744049,-13.99446,-16.01942,B6:12:6C:64:0A:F4
10.14642,11.66241,-9.275889,D9:63:EA:4C:AB:22
10.48435,-13.54273,11.40546,E0:14:BE:21:86:13
10.92208,-10.05332,4.789811,8F:F1:3A:2C:B1:52
11.74495,-13.74849,-17.00583,B6:12:6C:64:0A:F4
12.14951,9.108565,-10.43439,D9:63:EA:4C:AB:22
12.48572,-13.12342,8.635098,E0:14:BE:21:86:13
12.92551,-10.39581,7.573626,8F:F1:3A:2C:B1:52
13.74652,-11.91398,-15.91115,B6:12:6C:64:0A:F4
14.15387,6.553109,-11.59363,D9:63:EA:4C:AB:22
14.49065,-12.70337,5.859801,E0:14:BE:21:86:13
14.92697,-10.73795,10.35469,8F:F1:3A:2C:B1:52
15.75217,-9.662209,-14.2337,B6:12:6C:64:0A:F4
16.15708,3.999112,-12.75221,D9:63:EA:4C:AB:22
16.49406,-12.28365,3.086612,E0:14:BE:21:86:13
16.93181,-11.0005,12.94833,8F:F1:3A:2C:B1:52
17.75986,-7.408141,-12.55454,B6:12:6C:64:0A:F4
18.16542,1.438572,-13.91375,D9:63:EA:4C:AB:22
18.51052,-11.86118,0.2953672,E0:14:BE:21:86:13
18.94851,-9.525191,14.29918,8F:F1:3A:2C:B1:52
19.76091,-5.161519,-10.88093,B6:12:6C:64:0A:F4
20.16797,-1.114586,-15.07194,D9:63:EA:4C:AB:22
20.52325,-11.4395,-2.490732,E0:14:BE:21:86:13
20.96394,-6.77128,14.90764,8F:F1:3A:2C:B1:52
21.7709,-2.98765,-9.616037,B6:12:6C:64:0A:F4
22.18069,-3.6807,-16.23601,D9:63:EA:4C:AB:22
22.53843,-11.01731,-5.280211,E0:14:BE:21:86:13
22.97947,-4.015724,15.51519,8F:F1:3A:2C:B1:52
23.77413,-0.234374,-9.821884,B6:12:6C:64:0A:F4
24.19747,-5.907809,-17.15643,D9:63:EA:4C:AB:22
24.55133,-10.59559,-8.066545,E0:14:BE:21:86:13
24.98508,-1.273713,16.11975,8F:F1:3A:2C:B1:52
25.77849,2.558363,-10.09546,B6:12:6C:64:0A:F4
26.20292,-6.420819,-16.30673,D9:63:EA:4C:AB:22
26.56084,-10.17458,-10.84817,E0:14:BE:21:86:13
26.98838,1.465117,16.72361,8F:F1:3A:2C:B1:52
27.78544,5.354715,-10.3694,B6:12:6C:64:0A:F4
28.21102,-5.438188,-13.85659,D9:63:EA:4C:AB:22
28.57016,-9.753619,-13.62954,E0:14:BE:21:86:13
28.99735,4.211701,17.3292,8F:F1:3A:2C:B1:52
29.79216,8.150728,-10.6433,B6:12:6C:64:0A:F4
30.21418,-4.329988,-11.28042,D9:63:EA:4C:AB:22
30.57591,-9.3334,-16.40598,E0:14:BE:21:86:13
31.0043,6.955535,17.93416,8F:F1:3A:2C:B1:52
31.8051,10.95542,-10.91806,B6:12:6C:64:0A:F4
32.2188,-3.220985,-8.702369,D9:63:EA:4C:AB:22
